freq,psd_x,psd_y,psd_z,psd_xyz,zv(48.4),mzv(47.6),ei(57.2),2hump_ei(71.2),3hump_ei(85.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.991,0.990,0.988,0.987
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.986,0.979,0.977,0.973,0.970
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.975,0.964,0.960,0.953,0.949
6.4,1.376e+02,5.194e+00,3.136e+00,1.460e+02,0.961,0.945,0.939,0.930,0.924
8.0,1.749e+02,4.198e+00,2.468e+00,1.815e+02,0.945,0.923,0.915,0.903,0.895
9.6,1.975e+02,3.313e+00,2.127e+00,2.030e+02,0.927,0.898,0.888,0.873,0.863
11.2,2.065e+02,2.756e+00,1.813e+00,2.110e+02,0.906,0.870,0.857,0.840,0.828
12.9,2.207e+02,2.435e+00,1.651e+00,2.248e+02,0.883,0.840,0.824,0.805,0.791
14.5,2.490e+02,2.116e+00,1.391e+00,2.525e+02,0.858,0.807,0.789,0.767,0.751
16.1,2.842e+02,1.782e+00,1.453e+00,2.874e+02,0.831,0.772,0.752,0.727,0.709
17.7,2.937e+02,1.799e+00,1.272e+00,2.967e+02,0.801,0.735,0.712,0.685,0.666
19.3,2.939e+02,1.970e+00,1.171e+00,2.970e+02,0.770,0.696,0.671,0.642,0.622
20.9,2.977e+02,2.178e+00,1.133e+00,3.010e+02,0.737,0.656,0.629,0.599,0.577
22.5,2.934e+02,2.078e+00,1.175e+00,2.967e+02,0.702,0.615,0.586,0.555,0.532
24.1,2.991e+02,2.338e+00,1.377e+00,3.028e+02,0.666,0.572,0.542,0.510,0.487
25.7,3.025e+02,2.808e+00,1.334e+00,3.067e+02,0.628,0.529,0.498,0.466,0.443
27.3,3.224e+02,2.774e+00,9.316e-01,3.261e+02,0.589,0.485,0.454,0.422,0.399
28.9,3.548e+02,3.384e+00,8.699e-01,3.590e+02,0.548,0.442,0.411,0.379,0.357
30.5,3.935e+02,4.380e+00,1.002e+00,3.988e+02,0.506,0.398,0.368,0.338,0.316
32.1,4.418e+02,5.540e+00,1.312e+00,4.487e+02,0.464,0.354,0.326,0.298,0.277
33.7,4.906e+02,7.335e+00,1.692e+00,4.997e+02,0.420,0.312,0.285,0.259,0.240
35.3,5.584e+02,1.012e+01,2.335e+00,5.708e+02,0.376,0.270,0.246,0.223,0.205
37.0,6.629e+02,1.383e+01,2.424e+00,6.792e+02,0.331,0.229,0.208,0.188,0.173
38.6,8.395e+02,1.950e+01,2.038e+00,8.610e+02,0.286,0.190,0.173,0.157,0.143
40.2,1.121e+03,3.019e+01,3.118e+00,1.155e+03,0.240,0.152,0.140,0.127,0.117
41.8,1.597e+03,4.951e+01,4.555e+00,1.651e+03,0.194,0.116,0.110,0.101,0.094
43.4,2.487e+03,8.279e+01,6.885e+00,2.576e+03,0.149,0.083,0.082,0.078,0.074
45.0,3.642e+03,1.381e+02,1.021e+01,3.791e+03,0.107,0.054,0.058,0.058,0.058
46.6,4.208e+03,2.161e+02,1.483e+01,4.439e+03,0.077,0.038,0.038,0.042,0.046
48.2,3.938e+03,2.976e+02,1.789e+01,4.253e+03,0.062,0.035,0.024,0.032,0.039
49.8,3.277e+03,3.485e+02,1.508e+01,3.641e+03,0.072,0.044,0.020,0.028,0.037
51.4,2.549e+03,3.559e+02,1.280e+01,2.918e+03,0.098,0.060,0.025,0.029,0.037
53.0,1.901e+03,2.984e+02,1.041e+01,2.210e+03,0.135,0.079,0.032,0.032,0.038
54.6,1.404e+03,2.141e+02,7.074e+00,1.625e+03,0.178,0.095,0.037,0.035,0.040
56.2,9.991e+02,1.298e+02,3.903e+00,1.133e+03,0.221,0.108,0.040,0.038,0.040
57.8,8.082e+02,8.107e+01,2.170e+00,8.914e+02,0.262,0.119,0.039,0.038,0.039
59.5,6.007e+02,5.166e+01,1.207e+00,6.536e+02,0.303,0.127,0.036,0.038,0.038
61.1,4.631e+02,3.599e+01,8.756e-01,4.999e+02,0.343,0.132,0.031,0.036,0.035
62.7,3.632e+02,2.968e+01,7.568e-01,3.936e+02,0.382,0.133,0.029,0.032,0.031
64.3,2.829e+02,2.599e+01,5.712e-01,3.095e+02,0.419,0.132,0.028,0.028,0.027
65.9,2.232e+02,2.337e+01,5.393e-01,2.471e+02,0.455,0.128,0.031,0.023,0.023
67.5,1.908e+02,1.829e+01,5.488e-01,2.097e+02,0.489,0.122,0.038,0.017,0.018
69.1,1.634e+02,1.473e+01,5.251e-01,1.786e+02,0.522,0.112,0.048,0.012,0.014
70.7,1.438e+02,1.232e+01,4.975e-01,1.566e+02,0.553,0.101,0.066,0.011,0.012
72.3,1.303e+02,1.029e+01,4.945e-01,1.411e+02,0.583,0.094,0.090,0.011,0.012
73.9,1.154e+02,8.141e+00,4.864e-01,1.240e+02,0.610,0.088,0.115,0.013,0.015
75.5,9.950e+01,6.794e+00,4.469e-01,1.067e+02,0.636,0.083,0.141,0.018,0.018
77.1,8.781e+01,6.124e+00,4.307e-01,9.437e+01,0.660,0.081,0.169,0.023,0.021
78.7,7.842e+01,5.454e+00,4.505e-01,8.432e+01,0.682,0.081,0.198,0.027,0.024
80.3,6.947e+01,4.996e+00,5.032e-01,7.497e+01,0.701,0.085,0.227,0.030,0.027
81.9,6.058e+01,4.878e+00,5.527e-01,6.601e+01,0.719,0.094,0.257,0.031,0.029
83.6,5.283e+01,4.780e+00,5.391e-01,5.815e+01,0.735,0.105,0.287,0.032,0.030
85.2,4.679e+01,4.482e+00,5.789e-01,5.185e+01,0.748,0.120,0.317,0.031,0.030
86.8,4.189e+01,4.076e+00,6.348e-01,4.661e+01,0.760,0.136,0.346,0.028,0.029
88.4,3.726e+01,3.787e+00,7.126e-01,4.176e+01,0.769,0.163,0.375,0.027,0.028
90.0,3.301e+01,3.472e+00,7.837e-01,3.727e+01,0.776,0.194,0.403,0.027,0.026
91.6,3.013e+01,3.253e+00,8.486e-01,3.424e+01,0.781,0.224,0.431,0.028,0.023
93.2,2.764e+01,3.144e+00,8.924e-01,3.168e+01,0.783,0.255,0.456,0.030,0.019
94.8,2.311e+01,2.771e+00,8.783e-01,2.676e+01,0.784,0.286,0.481,0.033,0.015
96.4,2.266e+01,2.855e+00,7.347e-01,2.625e+01,0.783,0.317,0.504,0.038,0.013
98.0,2.279e+01,2.752e+00,7.508e-01,2.629e+01,0.779,0.347,0.525,0.045,0.012
99.6,2.105e+01,2.658e+00,8.015e-01,2.451e+01,0.773,0.376,0.544,0.058,0.012
101.2,1.731e+01,2.350e+00,8.159e-01,2.048e+01,0.765,0.404,0.561,0.076,0.012
102.8,1.626e+01,2.279e+00,8.713e-01,1.941e+01,0.756,0.432,0.576,0.095,0.013
104.4,1.659e+01,2.254e+00,9.749e-01,1.982e+01,0.744,0.458,0.588,0.115,0.014
106.0,1.417e+01,2.041e+00,9.180e-01,1.713e+01,0.730,0.482,0.598,0.137,0.017
107.7,1.277e+01,1.753e+00,9.366e-01,1.546e+01,0.715,0.505,0.606,0.159,0.020
109.3,1.178e+01,1.547e+00,1.002e+00,1.433e+01,0.698,0.526,0.611,0.182,0.023
110.9,1.151e+01,1.565e+00,1.151e+00,1.422e+01,0.679,0.546,0.614,0.205,0.024
112.5,1.028e+01,1.508e+00,1.249e+00,1.303e+01,0.658,0.563,0.614,0.229,0.025
114.1,1.011e+01,1.600e+00,1.429e+00,1.313e+01,0.636,0.579,0.611,0.252,0.025
115.7,9.668e+00,1.657e+00,1.613e+00,1.294e+01,0.612,0.592,0.607,0.275,0.023
