freq,psd_x,psd_y,psd_z,psd_xyz,zv(44.8),mzv(43.4),ei(49.2),2hump_ei(65.2),3hump_ei(79.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.990,0.988,0.987,0.986
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.977,0.972,0.970,0.967
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.972,0.959,0.950,0.948,0.943
6.4,3.706e+00,1.393e+02,2.716e+00,1.457e+02,0.957,0.937,0.924,0.921,0.916
8.0,2.782e+00,1.709e+02,2.299e+00,1.760e+02,0.939,0.912,0.894,0.891,0.884
9.6,2.326e+00,1.877e+02,1.993e+00,1.920e+02,0.918,0.883,0.859,0.856,0.848
11.2,2.073e+00,2.171e+02,1.942e+00,2.211e+02,0.894,0.851,0.821,0.819,0.809
12.8,1.920e+00,2.520e+02,1.895e+00,2.558e+02,0.868,0.816,0.780,0.779,0.768
14.4,1.887e+00,2.887e+02,1.887e+00,2.925e+02,0.840,0.779,0.736,0.736,0.724
16.0,1.805e+00,2.949e+02,1.924e+00,2.986e+02,0.809,0.738,0.689,0.691,0.678
17.6,1.601e+00,3.098e+02,2.250e+00,3.136e+02,0.776,0.696,0.641,0.645,0.631
19.2,1.696e+00,3.295e+02,2.205e+00,3.334e+02,0.740,0.652,0.591,0.597,0.583
20.8,1.586e+00,3.543e+02,2.056e+00,3.579e+02,0.703,0.607,0.541,0.549,0.535
22.4,1.857e+00,3.913e+02,2.086e+00,3.953e+02,0.664,0.560,0.490,0.501,0.487
24.0,2.538e+00,4.215e+02,2.341e+00,4.264e+02,0.623,0.513,0.439,0.453,0.439
25.6,3.672e+00,4.646e+02,2.638e+00,4.709e+02,0.581,0.465,0.389,0.406,0.392
27.2,4.880e+00,5.193e+02,1.694e+00,5.259e+02,0.537,0.417,0.340,0.360,0.347
28.8,6.170e+00,5.674e+02,1.249e+00,5.748e+02,0.492,0.370,0.292,0.315,0.304
30.4,7.972e+00,6.586e+02,1.176e+00,6.677e+02,0.445,0.323,0.247,0.273,0.263
32.0,1.078e+01,7.795e+02,1.038e+00,7.914e+02,0.398,0.277,0.204,0.232,0.224
33.6,1.324e+01,9.082e+02,9.784e-01,9.224e+02,0.350,0.233,0.163,0.195,0.188
35.2,1.660e+01,1.113e+03,1.299e+00,1.131e+03,0.302,0.190,0.126,0.160,0.155
36.8,2.274e+01,1.334e+03,1.618e+00,1.358e+03,0.253,0.148,0.093,0.128,0.125
38.4,3.461e+01,1.647e+03,1.715e+00,1.683e+03,0.203,0.110,0.064,0.099,0.099
40.0,5.862e+01,2.477e+03,4.766e+00,2.540e+03,0.154,0.074,0.040,0.074,0.077
41.6,1.090e+02,3.449e+03,1.284e+01,3.571e+03,0.109,0.047,0.023,0.054,0.059
43.2,1.792e+02,4.083e+03,2.526e+01,4.288e+03,0.076,0.035,0.021,0.038,0.047
44.8,2.537e+02,4.023e+03,3.479e+01,4.311e+03,0.062,0.039,0.028,0.029,0.039
46.4,3.228e+02,3.353e+03,3.852e+01,3.714e+03,0.076,0.053,0.035,0.028,0.037
48.0,3.423e+02,2.621e+03,3.759e+01,3.001e+03,0.106,0.074,0.039,0.031,0.037
49.6,2.943e+02,2.067e+03,3.127e+01,2.392e+03,0.149,0.092,0.039,0.034,0.039
51.2,2.037e+02,1.634e+03,2.684e+01,1.864e+03,0.195,0.107,0.036,0.037,0.040
52.8,1.258e+02,1.363e+03,2.629e+01,1.515e+03,0.240,0.119,0.031,0.038,0.040
54.4,6.657e+01,1.058e+03,2.312e+01,1.148e+03,0.285,0.127,0.028,0.038,0.039
56.0,3.675e+01,7.798e+02,1.837e+01,8.349e+02,0.328,0.132,0.029,0.035,0.036
57.5,2.162e+01,5.174e+02,1.305e+01,5.521e+02,0.370,0.133,0.035,0.032,0.033
59.1,1.522e+01,3.916e+02,1.012e+01,4.170e+02,0.411,0.131,0.046,0.027,0.028
60.7,9.753e+00,2.704e+02,7.322e+00,2.875e+02,0.450,0.126,0.065,0.021,0.024
62.3,6.483e+00,2.147e+02,6.049e+00,2.273e+02,0.487,0.117,0.092,0.015,0.019
63.9,5.066e+00,1.612e+02,4.906e+00,1.712e+02,0.522,0.105,0.122,0.011,0.014
65.5,5.059e+00,1.196e+02,3.860e+00,1.285e+02,0.555,0.095,0.153,0.011,0.012
67.1,4.551e+00,8.576e+01,3.125e+00,9.343e+01,0.587,0.089,0.185,0.012,0.012
68.7,4.255e+00,7.046e+01,2.677e+00,7.739e+01,0.616,0.084,0.219,0.017,0.015
70.3,4.001e+00,6.052e+01,2.572e+00,6.709e+01,0.643,0.081,0.254,0.022,0.019
71.9,3.476e+00,4.832e+01,2.509e+00,5.431e+01,0.668,0.081,0.288,0.027,0.022
73.5,3.458e+00,4.374e+01,2.444e+00,4.965e+01,0.691,0.087,0.323,0.030,0.025
75.1,3.182e+00,3.693e+01,2.256e+00,4.237e+01,0.711,0.097,0.357,0.032,0.028
76.7,2.654e+00,2.934e+01,2.188e+00,3.418e+01,0.729,0.110,0.390,0.032,0.029
78.3,2.853e+00,2.896e+01,2.472e+00,3.429e+01,0.744,0.127,0.422,0.030,0.030
79.9,2.634e+00,2.576e+01,2.650e+00,3.104e+01,0.757,0.150,0.452,0.027,0.030
81.5,2.478e+00,2.215e+01,2.715e+00,2.735e+01,0.767,0.183,0.481,0.027,0.028
83.1,2.367e+00,1.845e+01,2.804e+00,2.362e+01,0.775,0.216,0.507,0.027,0.026
84.7,2.292e+00,1.789e+01,3.174e+00,2.336e+01,0.781,0.250,0.531,0.029,0.023
86.3,1.973e+00,1.702e+01,3.538e+00,2.254e+01,0.784,0.284,0.552,0.032,0.020
87.9,1.357e+00,1.159e+01,2.748e+00,1.569e+01,0.784,0.317,0.570,0.037,0.015
89.5,1.221e+00,1.103e+01,3.488e+00,1.574e+01,0.782,0.350,0.586,0.044,0.013
91.1,1.374e+00,1.257e+01,3.768e+00,1.771e+01,0.778,0.382,0.598,0.056,0.012
92.7,1.182e+00,9.346e+00,2.849e+00,1.338e+01,0.771,0.412,0.607,0.076,0.012
94.3,9.684e-01,7.769e+00,3.541e+00,1.228e+01,0.762,0.442,0.612,0.097,0.013
95.9,1.102e+00,8.726e+00,3.436e+00,1.326e+01,0.750,0.469,0.614,0.119,0.014
97.5,1.198e+00,8.714e+00,3.419e+00,1.333e+01,0.736,0.495,0.613,0.143,0.015
99.1,1.022e+00,7.385e+00,3.521e+00,1.193e+01,0.721,0.519,0.608,0.167,0.019
100.7,1.139e+00,7.726e+00,3.661e+00,1.253e+01,0.703,0.541,0.600,0.192,0.022
102.3,1.147e+00,6.794e+00,3.493e+00,1.143e+01,0.683,0.561,0.589,0.218,0.024
103.9,1.235e+00,6.481e+00,3.741e+00,1.146e+01,0.661,0.578,0.576,0.243,0.025
105.5,8.890e-01,4.693e+00,4.235e+00,9.817e+00,0.637,0.592,0.559,0.269,0.025
107.1,7.733e-01,4.408e+00,4.797e+00,9.979e+00,0.612,0.604,0.540,0.294,0.023
108.7,9.285e-01,5.425e+00,5.320e+00,1.167e+01,0.585,0.614,0.518,0.318,0.024
110.3,1.057e+00,5.643e+00,5.752e+00,1.245e+01,0.557,0.620,0.494,0.341,0.024
111.9,8.291e-01,4.180e+00,6.412e+00,1.142e+01,0.527,0.624,0.468,0.363,0.026
113.5,8.108e-01,4.173e+00,7.819e+00,1.280e+01,0.496,0.626,0.441,0.384,0.028
115.1,7.481e-01,3.291e+00,8.396e+00,1.244e+01,0.464,0.624,0.413,0.403,0.030
116.7,9.132e-01,3.764e+00,9.411e+00,1.409e+01,0.431,0.620,0.383,0.421,0.034
118.3,8.467e-01,3.489e+00,8.106e+00,1.244e+01,0.397,0.613,0.353,0.436,0.038
119.9,6.881e-01,2.988e+00,7.455e+00,1.113e+01,0.372,0.604,0.322,0.449,0.045
121.5,7.104e-01,2.909e+00,7.747e+00,1.137e+01,0.355,0.592,0.292,0.460,0.060
123.1,7.940e-01,3.094e+00,9.646e+00,1.353e+01,0.339,0.578,0.261,0.469,0.076
124.7,7.062e-01,2.445e+00,9.926e+00,1.308e+01,0.324,0.561,0.232,0.475,0.094
126.3,6.016e-01,1.944e+00,9.020e+00,1.157e+01,0.311,0.543,0.203,0.478,0.112
127.9,5.776e-01,1.878e+00,7.868e+00,1.032e+01,0.301,0.523,0.176,0.479,0.131
129.5,6.190e-01,1.937e+00,9.186e+00,1.174e+01,0.292,0.501,0.158,0.477,0.151
131.1,5.102e-01,1.409e+00,1.017e+01,1.209e+01,0.286,0.477,0.146,0.473,0.170
132.7,3.976e-01,1.142e+00,9.503e+00,1.104e+01,0.283,0.453,0.135,0.467,0.191
134.3,3.731e-01,1.044e+00,8.775e+00,1.019e+01,0.282,0.427,0.126,0.458,0.210
135.9,3.056e-01,8.376e-01,8.715e+00,9.859e+00,0.284,0.400,0.118,0.447,0.230
137.5,2.805e-01,7.766e-01,8.189e+00,9.246e+00,0.289,0.373,0.111,0.434,0.249
139.1,2.420e-01,6.924e-01,7.406e+00,8.341e+00,0.296,0.345,0.106,0.419,0.267
140.7,2.463e-01,6.055e-01,7.172e+00,8.024e+00,0.304,0.317,0.101,0.403,0.285
142.3,2.477e-01,5.766e-01,6.938e+00,7.762e+00,0.314,0.289,0.098,0.385,0.301
143.9,2.191e-01,5.589e-01,6.517e+00,7.295e+00,0.325,0.262,0.096,0.365,0.316
145.5,1.819e-01,4.962e-01,6.499e+00,7.177e+00,0.338,0.235,0.095,0.345,0.329
147.1,1.654e-01,4.268e-01,4.781e+00,5.373e+00,0.350,0.219,0.095,0.323,0.341
148.7,1.559e-01,3.852e-01,4.684e+00,5.226e+00,0.363,0.208,0.096,0.301,0.351
150.3,1.795e-01,3.472e-01,5.520e+00,6.046e+00,0.391,0.198,0.097,0.278,0.359
151.9,2.146e-01,3.106e-01,4.743e+00,5.268e+00,0.419,0.189,0.100,0.256,0.365
153.5,2.220e-01,2.674e-01,4.042e+00,4.531e+00,0.446,0.180,0.103,0.233,0.369
155.1,2.111e-01,2.431e-01,2.658e+00,3.112e+00,0.471,0.174,0.107,0.211,0.371
156.7,2.121e-01,2.378e-01,2.490e+00,2.940e+00,0.495,0.168,0.112,0.189,0.372
158.3,2.041e-01,2.214e-01,2.465e+00,2.890e+00,0.517,0.163,0.118,0.168,0.370
159.9,1.906e-01,2.224e-01,2.064e+00,2.477e+00,0.538,0.159,0.124,0.147,0.366
161.5,1.802e-01,2.446e-01,1.650e+00,2.075e+00,0.557,0.156,0.131,0.128,0.360
163.1,1.728e-01,2.364e-01,1.525e+00,1.934e+00,0.574,0.153,0.139,0.110,0.352
164.7,1.841e-01,2.434e-01,1.269e+00,1.696e+00,0.590,0.152,0.147,0.095,0.343
166.3,2.250e-01,2.537e-01,1.110e+00,1.589e+00,0.604,0.151,0.160,0.089,0.332
167.9,2.490e-01,2.669e-01,9.550e-01,1.471e+00,0.615,0.150,0.181,0.082,0.320
169.4,2.581e-01,2.741e-01,7.802e-01,1.312e+00,0.625,0.150,0.203,0.077,0.306
171.0,2.794e-01,3.281e-01,7.302e-01,1.338e+00,0.634,0.150,0.225,0.072,0.291
172.6,3.025e-01,3.631e-01,7.114e-01,1.377e+00,0.640,0.150,0.246,0.068,0.275
174.2,2.886e-01,3.649e-01,6.284e-01,1.282e+00,0.644,0.151,0.267,0.064,0.259
175.8,2.550e-01,3.247e-01,5.092e-01,1.089e+00,0.647,0.151,0.288,0.061,0.242
177.4,2.198e-01,2.854e-01,4.113e-01,9.165e-01,0.647,0.152,0.307,0.058,0.224
179.0,1.943e-01,2.626e-01,4.101e-01,8.670e-01,0.646,0.154,0.326,0.056,0.206
180.6,1.681e-01,2.576e-01,4.302e-01,8.560e-01,0.643,0.155,0.343,0.054,0.189
182.2,1.492e-01,2.159e-01,4.289e-01,7.940e-01,0.638,0.158,0.359,0.052,0.171
183.8,1.371e-01,1.837e-01,3.654e-01,6.863e-01,0.632,0.160,0.374,0.051,0.154
185.4,1.257e-01,1.696e-01,2.594e-01,5.547e-01,0.623,0.163,0.386,0.049,0.137
187.0,1.171e-01,1.638e-01,2.219e-01,5.027e-01,0.613,0.166,0.397,0.048,0.121
188.6,1.158e-01,1.649e-01,4.382e-01,7.189e-01,0.602,0.170,0.406,0.048,0.106
190.2,1.131e-01,1.687e-01,4.145e-01,6.962e-01,0.589,0.175,0.412,0.047,0.092
191.8,1.072e-01,1.524e-01,2.512e-01,5.108e-01,0.574,0.180,0.417,0.047,0.078
193.4,1.005e-01,1.526e-01,2.701e-01,5.233e-01,0.558,0.185,0.420,0.047,0.066
195.0,1.092e-01,1.522e-01,5.483e-01,8.097e-01,0.541,0.191,0.420,0.047,0.062
196.6,1.173e-01,1.591e-01,5.587e-01,8.351e-01,0.523,0.197,0.419,0.047,0.058
198.2,1.127e-01,1.669e-01,3.985e-01,6.781e-01,0.504,0.204,0.415,0.048,0.055
199.8,1.100e-01,1.520e-01,3.712e-01,6.332e-01,0.484,0.211,0.410,0.048,0.051
